KEY_SKU_MEDICAMENTO;QTD_VENDIDA;DATA
ADAPALENO + PERÓXIDO DE BENZOÍLA 1MG/G + 25MG/G GEL TOP CT BG AL/PLAS OPC X 30G;4;2021-07-01
ADAPALENO + PERÓXIDO DE BENZOÍLA 1MG/G + 25MG/G GEL TOP CT BG PLAS OPC X 30 G   ;4;2021-06-01
ADAPALENO 1 MG/G GEL CT BG AL X 30 G;2;2019-08-01
ADAPALENO 1 MG/G GEL CT BG PLAS OPC X 30 G;33;2021-07-01
ADAPALENO 1 MG/G GEL CT BL PLAST LAM X 30 G;2;2018-05-01
ADAPALENO 1 MG/G GEL DERM LIB PROL CT BG AL REV X 30G ;3;2021-04-01
ADAPALENO 1,0 MG/G GEL CT BG PLAS LAM X 30 G ;3;2020-09-01
ADAPALENO 3 MG/G GEL CT BG PLAS OPC X 30 G  ;1;2021-08-01
AGOMELATINA 25 MG COM REV CT BL AL PLAS PVC TRANS X 28;13915;2021-10-01
AGOMELATINA 25 MG COM REV CT BL AL PLAS PVC TRANS X 56;6537;2021-10-01
ALPRAZOLAM (PORT. 344/98 LISTA B 1) 0,25 MG COM CT BL AL PLAS INC X 20;1;2019-04-01
ALPRAZOLAM (PORT. 344/98 LISTA B 1) 0,5 MG COM CT BL AL PLAS INC X 20;2;2019-03-01
ALPRAZOLAM (PORT. 344/98 LISTA B 1) 0,5 MG COM LIB LENTA CT BL AL PLAS INC X 30 ;4;2021-02-01
ALPRAZOLAM (PORT. 344/98 LISTA B 1) 1,0 MG COM LIB LENTA CT BL AL PLAS INC X 30 ;15;2021-03-01
ALPRAZOLAM (PORT. 344/98 LISTA B 1) 2,0 MG COM LIB LENTA CT BL AL PLAS INC X 30;1;2018-05-01
ALPRAZOLAM 0,25 MG COM CT BL AL AL X 30 ;23;2020-06-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS INC X 20;200;2021-03-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS INC X 20 ;150;2019-01-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS INC X 30;31040;2021-10-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS OPC X 20;49;2020-05-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS OPC X 30;65814;2021-10-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS TRANS X 20 ;293;2019-12-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS TRANS X 30;12167;2021-10-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS TRANS X 30 ;23383;2021-10-01
ALPRAZOLAM 0,25 MG COM CT BL AL PLAS X 30;403;2021-09-01
ALPRAZOLAM 0,25 MG COM CT C/2 BL AL PLAS INC X 15;138;2021-09-01
ALPRAZOLAM 0,25 MG COM CT STRIP AL/AL X 30 ;241;2021-10-01
ALPRAZOLAM 0,25MG COM CT BL AL PLAS OPC X 20;1;2019-05-01
ALPRAZOLAM 0,5 MG COM CT BL AL AL X 30;483;2021-10-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS INC X 20;117;2021-04-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP);10;2019-09-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS INC X 20 ;4;2019-05-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS INC X 30;68867;2021-10-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS OPC X 30;137746;2021-10-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS TRANS X 20 ;96;2020-05-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS TRANS X 30;136841;2021-10-01
ALPRAZOLAM 0,5 MG COM CT BL AL PLAS X 30;2539;2021-10-01
ALPRAZOLAM 0,5 MG COM CT STRIP AL/AL X 30;1845;2021-10-01
ALPRAZOLAM 0,5 MG COM LIB LENTA CT BL AL/AL X 30;5278;2021-10-01
ALPRAZOLAM 0,5 MG COM LIB PROL CT BL AL/AL X 30;1241;2021-10-01
ALPRAZOLAM 0,5 MG COM SUB-LING CT BL AL PLAS INC X 15 ;109;2018-11-01
ALPRAZOLAM 0,5 MG COM SUB-LING CT BL AL PLAS INC X 30;3270;2021-02-01
ALPRAZOLAM 0,50 MG COM CT 3 BL AL PLAS INC X 10;1728;2020-06-01
ALPRAZOLAM 0,50 MG COM CT C/2 BL AL PLAS INC X 15;19;2020-09-01
ALPRAZOLAM 0.5 MG COM SUBL BL AL PLAS TRANS X 15 ;7;2021-06-01
ALPRAZOLAM 0.5 MG COM SUBL BL AL PLAS TRANS X 30;3334;2021-10-01
ALPRAZOLAM 1 MG COM CT BL AL AL X 30;87;2021-10-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS INC X 20;90;2021-05-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS INC X 30;22390;2021-10-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS INC X 30  ;30485;2021-10-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS OPC X 30;146782;2021-10-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS TRANS X 20 ;1430;2021-02-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS TRANS X 30;126748;2021-10-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS TRANS X 30  ;9955;2021-10-01
ALPRAZOLAM 1 MG COM CT BL AL PLAS X 30;1042;2021-10-01
ALPRAZOLAM 1 MG COM CT STRIP AL/AL X 30;1386;2021-10-01
ALPRAZOLAM 1 MG COM LIB LENTA CT BL AL/AL X 30;5253;2021-10-01
ALPRAZOLAM 1 MG COM LIB PROL CT BL AL/AL X 30;1117;2021-10-01
ALPRAZOLAM 1,0 MG COM CT BL AL PLAS INC X 30;8146;2021-10-01
ALPRAZOLAM 1,0 MG COM CT BL AL PLAS OPC X 20;121;2020-05-01
ALPRAZOLAM 1,0 MG COM CT BL AL PLAS OPC X 30;14182;2021-10-01
ALPRAZOLAM 1,0 MG COM CT BL AL PLAS TRANS X 30;12956;2021-10-01
ALPRAZOLAM 1,0 MG COM CT C/2 BL AL PLAS INC X 15;111;2021-09-01
ALPRAZOLAM 2 MG COM CT BL AL AL X 30;258;2021-10-01
ALPRAZOLAM 2 MG COM CT BL AL PLAS INC X 20;154;2021-03-01
ALPRAZOLAM 2 MG COM CT BL AL PLAS INC X 30;24169;2021-10-01
ALPRAZOLAM 2 MG COM CT BL AL PLAS INC X 30 ;552;2021-01-01
ALPRAZOLAM 2 MG COM CT BL AL PLAS OPC X 30 ;101910;2021-10-01
ALPRAZOLAM 2 MG COM CT BL AL PLAS TRANS X 20;14;2018-03-01
ALPRAZOLAM 2 MG COM CT BL AL PLAS TRANS X 30;106575;2021-10-01
ALPRAZOLAM 2 MG COM CT BL AL PLAS X 30;1461;2021-10-01
ALPRAZOLAM 2 MG COM CT FR VD AMB X 30 + 1 PORTA COMPRIMIDO;27760;2021-10-01
ALPRAZOLAM 2 MG COM CT STRIP AL/AL X 30;62;2021-10-01
ALPRAZOLAM 2 MG COM LIB LENTA CT BL AL/AL X 30;1811;2021-10-01
ALPRAZOLAM 2 MG COM LIB PROL CT BL AL/AL X 30;448;2021-10-01
ALPRAZOLAM 2,0 MG COM CT BL AL PLAS INC X 20;12;2019-07-01
ALPRAZOLAM 2,0 MG COM CT BL AL PLAS INC X 30;8585;2021-10-01
ALPRAZOLAM 2,0 MG COM CT BL AL PLAS OPC X 30;480;2020-12-01
ALPRAZOLAM 2,0 MG COM CT BL AL PLAS TRANS X 30;21932;2021-10-01
AMIDO DE MILHO + CLORDIAZEPÓXIDO + CLORIDRATO DE AMITRIPTILINA 12,5MG + 5,0MG CAP GEL DURA CT BL AL PLAS INC X 20;24;2021-01-01
AMILSUPRIDA 200 MG COM CT 2 BL AL PLAS INC X 10;90;2021-03-01
AMILSUPRIDA 50 MG COM CT BL AL PLAS INC X 20;117;2021-09-01
AMISSULPRIDA 200 MG COM CT BL AL PLAS PVC TRANS X 20;11;2021-10-01
AMISSULPRIDA 200 MG COM CT BL AL PLAS TRANS X 20;2692;2021-10-01
AMISSULPRIDA 50 MG COM CT BL AL PLAS INC X 20;3311;2021-10-01
AMISSULPRIDA 50 MG COM CT BL AL PLAS PVC TRANS X 20;126;2021-10-01
AMISSULPRIDA 50 MG COM CT BL AL PLAS TRANS X 20;9133;2021-10-01
AMOCIXILINA TRIHIDRATADA + CLAVULANATO DE POTÁSSIO 500 MG + 125 MG COM REV CT BL AL PLAS TRANS + ENV X 30 ;9819;2021-10-01
AMOCIXILINA TRIHIDRATADA + CLAVULANATO DE POTÁSSIO 500 MG + 125 MG COM REV CT BL AL PLAS TRANS+ ENV X 21 ;19001;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (500+125) MG COM REV CT STR AL/AL X 12;34335;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (500+125) MG COM REV CT STR AL/AL X 14 ;15073;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (500+125) MG COM REV CT STR AL/AL X 18;26096;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (500+125) MG COM REV CT STR AL/AL X 21;86762;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (500+125) MG COM REV CT STR AL/AL X 30;8842;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (875+125) MG COM REV CT FR PLAS OPC X 12;2;2020-05-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (875+125) MG COM REV CT FR PLAS OPC X 14;157;2021-05-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO (875+125) MG COM REV CT FR PLAS OPC X 20;26;2018-06-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 25 MG/ML + 6,25 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOS ;132;2018-12-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 25 MG/ML + 6,25 MG/ML PÓ P/ SUSP ORAL CT FR VD AMB X 100 ML + COL DOSAD ;19;2020-06-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 25 MG/ML + 6,25 MG/ML PÓ P/ SUSP ORAL CT FR VD AMB X 75 ML + COL DOSAD ;6;2020-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 400 MG + 57 MG/5 ML PO PREP EXTEMP CT FR VD AMB X 70 ML + SER DOSAD X 10 ML ;4649;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 50 MG/ML + 12,5 MG/ML PO SUS OR CT FR PLAS OPC X 75 ML + COL;292;2021-07-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 50 MG/ML + 12,5 MG/ML PO SUS OR CT FR PLAS OPC X 75 ML + COP;34189;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 50 MG/ML + 12,5 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOS;1335;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 50 MG/ML + 12,5 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOSAD;25;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 500 MG + 125 MG COM REV CT STR AL X 12;1091;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 500 MG + 125 MG COM REV CT STR X 18;5;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 80 MG/ML + 11 MG/ML PO PREP EXTEMP CT FR VD AMB X 60 ML;20100;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 80 MG/ML + 11 MG/ML PO PREP EXTEMP CT FR VD AMB X 90 ML;12398;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 80 MG/ML + 11,4 MG/ML PO SUS OR CT FR PLAS OPC X 70 ML + SER DOS + COP;282;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 80 MG/ML + 11,4 MG/ML PÓ SUS OR CT FR PLAS OPC X 70 ML + SER DOS + COP;19579;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT BL AL / AL X 12;2505;2021-07-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT BL AL / AL X 14;7148;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT BL AL/ AL X 12;7504;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT BL AL/ AL X 14;50408;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT BL AL/ AL X 20;21323;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT BL AL/AL X 12;88;2020-08-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT BL AL/AL X 14;711;2021-09-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT FR VD AMB X 14 ;16552;2021-10-01
AMOXICILINA + CLAVULANATO DE POTÁSSIO 875 MG + 125 MG COM REV CT FR VD AMB X 20;24054;2021-10-01
AMOXICILINA + SULBACTAM 200 MG/ML + 50 MG/ML PO P/ PREP EXT CT FR PLAS OPC X 15 G (CAP 30ML) + DOSIF;339;2021-10-01
AMOXICILINA + SULBACTAM 200 MG/ML + 50 MG/ML PO P/ PREP EXT CT FR PLAS OPC X 30 G (CAP 60ML) + DOSIF;233;2021-10-01
AMOXICILINA + SULBACTAM 200 MG/ML + 50 MG/ML PÓ PREP EXT FR PLAS OPC X 15 G (CAP 30 ML) + DOSIF ;25;2018-04-01
AMOXICILINA + SULBACTAM 200 MG/ML + 50 MG/ML PÓ PREP EXT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF ;3;2017-12-01
AMOXICILINA + SULBACTAM 50 MG/ML + 50 MG/ML PO P/ PREP EXT CT FR PLAS OPC X 30 G (CAP 60ML) + DOSIF;4;2019-10-01
AMOXICILINA + SULBACTAM 500 MG +500 MG COM REV CT BL AL PVC X 8;1;2019-06-01
AMOXICILINA + SULBACTAM 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14;1382;2021-10-01
AMOXICILINA + SULBACTAM 875 MG + 125 MG COM REV CT BL AL PLAS TRANS X 14;64;2019-07-01
AMOXICILINA 125 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED;1;2021-04-01
AMOXICILINA 50 MG/ML PO P/ SUSP OR CT FR PLAS AMB X 150 ML + CP MED;45;2018-06-01
AMOXICILINA 50 MG/ML PO SUS CT FR VD AMB X 150 ML + COP X 15 ML;4249;2021-10-01
AMOXICILINA 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP  ;5255;2021-10-01
AMOXICILINA 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + SER DOS;554;2021-10-01
AMOXICILINA 50 MG/ML PO SUS OR CT FR PLASC OPC X 150 ML + COP;4475;2021-10-01
AMOXICILINA 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + COP;11826;2021-10-01
AMOXICILINA 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP;1214;2021-10-01
AMOXICILINA 50 MG/ML PÓ P/ SUS OR CT FR VD AMB X 150 ML + CP MED;1310;2021-10-01
AMOXICILINA 50 MG/ML PÓ SUS OR CT FR VD AMB X 150 ML + COP;7642;2021-10-01
AMOXICILINA 50 MG/ML PÓ SUS OR CT FR VD AMB X 60 ML + COP;608;2021-10-01
AMOXICILINA 500 MG CAP DURA CT BL AL PLAS PVC TRANS X 15;3184;2021-10-01
AMOXICILINA 500 MG CAP DURA CT BL AL PLAS PVC TRANS X 21;38645;2021-10-01
AMOXICILINA 500 MG CAP DURA CT BL AL PLAS PVC TRANS X 30;3222;2021-10-01
AMOXICILINA 500 MG CAP DURA CT BL AL PLAS PVDC TRANS X 15;8940;2021-10-01
AMOXICILINA 500 MG CAP DURA CT BL AL PLAS PVDC TRANS X 21;36332;2021-10-01
AMOXICILINA 500 MG CAP DURA CT BL AL PLAS PVDC TRANS X 30;18385;2021-10-01
AMOXICILINA 500 MG CAP DURA CT BL AL PLAS TRANS X 21;40779;2021-10-01
AMOXICILINA 500 MG CAP GEL DURA CT BL AL PLAS INC X 15;4056;2021-10-01
AMOXICILINA 500 MG CAP GEL DURA CT BL AL PLAS INC X 21;4678;2021-10-01
AMOXICILINA 500 MG COM CT BL AL PLAS OPC X 21;144;2021-09-01
AMOXICILINA 500 MG COM CT BL AL/ AL X 12;2;2018-03-01
AMOXICILINA 875 MG COM REV CT BL AL AL X 14;10265;2021-10-01
AMOXICILINA 875 MG COM REV CT BL AL/AL X 14;3855;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + ESOMEPRAZOL MAGNÉSICO DI-HIDRATADO 500 MG CAP DURA + 500 MG COM REV + 20 MG COM REV LIB RETARD CT BL AL AL X 28 +14 + 42;279;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + ESOMEPRAZOL MAGNÉSICO DI-HIDRATADO 500 MG CAP DURA + 500 MG COM REV + 20 MG COM REV LIB RETARD CT BL AL AL X 56 + 28 + 42;4801;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO 500 MG CAP DURA CT BL AL PLAS TRANS X 28 + 500 MG COM REV CT BL AL PLAS OPC X 14 + 20 MG COM REV CT BL AL AL X 42 ;6083;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO 500 MG CAP DURA CT BL AL PLAS TRANS X 56 + 500 MG COM REV CT BL AL PLAS OPC X 28 + 20 MG COM REV CT BL AL AL X 42;58;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS TRANS X 14 + 14 + 28;186;2020-09-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30 MG CAP + 500 MG COM REV + 500 MG CAP CT BL AL PLAS TRANS X 28 + BL AL PLAS TRANS X 14 + 14 + 28;898;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30 MG CAP DURA LIB RETARD + 500 MG COM REV + 500 MG CAP DURA CT 14 BL AL PLAS TRANS X 2+2+4;658;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30 MG CAP DURA LIB RETARD + 500 MG COM REV + 500 MG CAP DURA CT 4 BL AL PLAS TRANS X 7+ 7 BL AL PLAS TRANS X 2+2+4;4137;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30 MG CAP DURA LIB RETARD + 500 MG COM REV + 500 MG CAP DURA CT 7 BL AL PLAS TRANS X 2+2+4;2426;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30 MG CAP LIB RETARD + 500 MG COM REV + 500 MG CAP CT BL AL PLAS TRANS X 14 + 14 + 28;362;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30 MG CAP LIB RETARD + 500 MG COM REV + 500 MG CAP CT BL AL PLAS TRANS X 28 + BL AL PLAS TRANS X 14 + 14 + 28;3958;2021-10-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + LANSOPRAZOL 30MG CAP GEL DURA + 500MG COM REV + 500MG CAP GEL DURA CT 7 BL AL PLAS TRANS X 2+2+4 + 30MG CAP GEL DURA BL AL PLAS TRANS X 28;554;2021-09-01
AMOXICILINA TRI-HIDRATADA + CLARITROMICINA + OMEPRAZOL 20 MG CAP DURA LIB RETARD + 500 MG COM REV + 500 MG CAP DURA CT BL AL PLAS TRANS X 14 + BL AL PLAS TRANS X 14 + BL AL PLAS TRANS X 28 ;1692;2021-10-01
